Details,Posting Date,Description,Amount,Type,Balance,Check or Slip Number
Transaction 1,2024-01-15,Sword sharpening and polishing,-45.99,Debit,954.01,CHK001
Transaction 2,2024-01-16,Armor repair (dragon claw marks),-120.50,Debit,833.51,CHK002
Transaction 3,2024-01-17,Horse feed and dragon-resistant horseshoes,-78.25,Debit,755.26,CHK003
Transaction 4,2024-01-18,Tavern meals (liquid courage),-32.75,Debit,722.51,CHK004
Transaction 5,2024-01-19,Dragon-slaying insurance premium,-250.00,Debit,472.51,CHK005
Transaction 6,2024-01-20,Magic potion (fire resistance),-89.99,Debit,382.52,CHK006
Transaction 7,2024-01-21,Arrow supplies (dragon scale piercing),-56.40,Debit,326.12,CHK007
Transaction 8,2024-01-22,Castle cleaning (post-dragon cleanup),-145.75,Debit,180.37,CHK008
Transaction 9,2024-01-23,Herald fees (quest announcement),-25.00,Debit,155.37,CHK009
Transaction 10,2024-01-24,Dragon bait (sheep and treasure),-67.50,Debit,87.87,CHK010
Transaction 11,2024-01-25,Tournament prize money,500.00,Credit,587.87,DEP011
Transaction 12,2024-01-26,Enchanted sword polish,-15.50,Debit,572.37,CHK012
Transaction 13,2024-01-27,Dragon scale armor plating,-89.99,Debit,482.38,CHK013
Transaction 14,2024-01-28,Unicorn hair bow strings,-42.25,Debit,440.13,CHK014
Transaction 15,2024-01-29,Phoenix feather quills,-28.75,Debit,411.38,CHK015
Transaction 16,2024-01-30,Mermaid scale mail repair,-156.40,Debit,254.98,CHK016
Transaction 17,2024-01-31,Griffin talon sword grips,-67.50,Debit,187.48,CHK017
Transaction 18,2024-02-01,Basilisk venom antidote,-199.99,Debit,-12.51,CHK018
Transaction 19,2024-02-02,Quest reward payment,750.00,Credit,737.49,DEP019
Transaction 20,2024-02-03,Troll strength potion,-89.50,Debit,647.99,CHK020
Transaction 21,2024-02-04,Elf archery master lessons,-125.00,Debit,522.99,CHK021
Transaction 22,2024-02-05,Dwarf smithing consultation,-75.25,Debit,447.74,CHK022
Transaction 23,2024-02-06,Wizard spell components,-234.99,Debit,212.75,CHK023
Transaction 24,2024-02-07,Fairy dust for good luck,-45.99,Debit,166.76,CHK024
Transaction 25,2024-02-08,Giant spider silk rope,-112.50,Debit,54.26,CHK025
Transaction 26,2024-02-09,Minotaur horn trumpet,-88.75,Debit,-34.49,CHK026
Transaction 27,2024-02-10,Pegasus flight training,-299.99,Debit,-334.48,CHK027
Transaction 28,2024-02-11,Centaur archery contest entry,-50.00,Debit,-384.48,CHK028
Transaction 29,2024-02-12,Dragon fire insurance premium,-450.00,Debit,-834.48,CHK029
Transaction 30,2024-02-13,Quest completion bounty,-1000.00,Debit,-1834.48,CHK030
Transaction 31,2024-02-14,Royal banquet tickets,-85.50,Debit,-1919.98,CHK031
Transaction 32,2024-02-15,Knight's guild membership dues,-150.00,Debit,-2069.98,CHK032
Transaction 33,2024-02-16,Enchanted horse shoes,-178.25,Debit,-2248.23,CHK033
Transaction 34,2024-02-17,Magic mirror scrying service,-67.99,Debit,-2316.22,CHK034
Transaction 35,2024-02-18,Crystal ball consultation,-125.75,Debit,-2441.97,CHK035
Transaction 36,2024-02-19,Dragon breath protection charm,-89.99,Debit,-2531.96,CHK036
Transaction 37,2024-02-20,Medieval tax payment,-200.00,Debit,-2731.96,CHK037
Transaction 38,2024-02-21,Tournament entry fee,-75.00,Debit,-2806.96,CHK038
Transaction 39,2024-02-22,Jousting lance replacement,-45.50,Debit,-2852.46,CHK039
Transaction 40,2024-02-23,Herbal healing potions,-156.25,Debit,-3008.71,CHK040
Transaction 41,2024-02-24,Alchemy lab supplies,-234.99,Debit,-3243.70,CHK041
Transaction 42,2024-02-25,Teleportation scroll,-399.99,Debit,-3643.69,CHK042
Transaction 43,2024-02-26,Invisibility cloak repair,-299.50,Debit,-3943.19,CHK043
Transaction 44,2024-02-27,Flying carpet maintenance,-145.75,Debit,-4088.94,CHK044
Transaction 45,2024-02-28,Magic carpet cleaning,-25.99,Debit,-4114.93,CHK045
Transaction 46,2024-02-29,Time travel hourglass,-999.99,Debit,-5114.92,CHK046
